row_in_split,rho,kappa,gamma,bar_v,v0,moneyness,tau,r,IV,iv_true,iv_pred,residual,abs_error,sq_error,is_outlier,is_outlier_hard,is_outlier_q,is_floor_iv,is_region_tau_lt_0_25_m_lt_0_8,delta,abs_delta,abs_gamma,vega,abs_vega,theta,abs_theta,abs_rho,dominant_greek,vega_feature,abs_theta_norm_refq,abs_vega_norm_refq,abs_delta_norm_refq,abs_rho_norm_refq,sensitivity_score,sensitivity_driver,high_sensitivity,is_negative_iv_pred,is_short_low_m_region,outlier_type,mse_contribution,mse_share_global_pct,mse_share_outliers_pct,sq_error_rank,split
392,-3.1518134656171126,1.3201719742833542,0.0,0.4410594863934581,0.07819536596333063,0.7025570780989736,0.08660683922166146,0.042333290123488,0.25829231876129705,0.25829231876129705,0.1077047735452652,-0.15058754521603185,0.15058754521603185,0.022676608774190435,True,True,True,False,True,17.87320009767621,17.87320009767621,0.0,32.01896538945534,32.01896538945534,-39.13733896521464,39.13733896521464,3.1518134656171126,theta,v0,316.0247239215666,33.06301889813032,136.27829024054213,19.717373633773622,316.0247239215666,theta,True,False,True,short_low_m_high_sensitivity,2.2676608774190436e-07,4.878060930845595,5.258020552512973,9,val
4646,-2.544205396100829,1.4657825046178754,0.0,0.27975721831040046,0.07929173493157375,0.6071095874711592,0.19349541993214997,0.004353374581794594,0.261879453349248,0.261879453349248,0.1331016719341278,-0.1287777814151202,0.1287777814151202,0.016583716986200477,True,True,True,False,True,8.781981456459288,8.781981456459288,0.0,15.614213440458988,15.614213440458988,-5.385106051746181,5.385106051746181,2.544205396100829,vega,v0,43.48345335394499,16.123351513142623,66.96022040093533,15.916249150918878,66.96022040093533,delta,True,False,True,short_low_m_high_sensitivity,1.6583716986200477e-07,3.5673932872475125,3.845263002894206,11,val
5278,0.47645421213835876,1.4463974177340686,0.0,0.48188237166771714,0.1250648190112927,0.6789791930190845,0.05901865782159241,0.007679071501917567,1e-06,1e-06,0.15950441360473633,0.15950341360473633,0.15950341360473633,0.025441338951563586,True,True,True,True,True,10.200666547279397,10.200666547279397,0.0,15.909470655277728,15.909470655277728,-26.447363291907322,26.447363291907322,0.47645421213835876,theta,v0,213.55618199303265,16.428236282360565,77.77730841596008,2.9806414061619813,213.55618199303265,theta,True,False,True,floor_iv_mismatch,2.5441338951563583e-07,5.472793696969053,5.899077962795866,8,val
15109,0.02603071730935177,0.6997857046891636,0.0,0.3215417809161281,0.06249029794930927,0.6820505936023994,0.08334760745387315,0.017538150176412328,1e-06,1e-06,0.23076343536376953,0.23076243536376953,0.23076243536376953,0.05325130157501791,True,True,True,True,True,21.77712376434773,21.77712376434773,0.0,25.623436188378694,25.623436188378694,-31.501087816283057,31.501087816283057,0.02603071730935177,theta,v0,254.36380815818916,26.458948458415897,166.04464655145,0.16284510004881697,254.36380815818916,theta,True,False,True,floor_iv_mismatch,5.32513015750179e-07,11.455112019457811,12.34736820296476,3,val
18714,-3.4575598257527322,1.1092524458045971,0.0,0.061358162175503314,0.0816178466402416,0.7262555547644076,0.07157442315287754,0.0055127868474828074,0.26308273804225535,0.26308273804225535,0.21045657992362976,-0.05262615811862559,0.05262615811862559,0.0027695125183265818,True,True,True,False,True,9.013025069555136,9.013025069555136,0.0,20.86374002528138,20.86374002528138,-12.574117343995358,12.574117343995358,3.4575598257527322,vega,v0,101.53301341528042,21.544051231859324,68.7218651199352,21.630086833880455,101.53301341528042,theta,True,False,True,short_low_m_high_sensitivity,2.7695125183265816e-08,0.5957615156510103,0.6421662906835154,13,val
23964,0.5205598844371068,2.5822174013560324,0.0,0.22310589218967625,0.05240837960251003,0.7510469705372902,0.05134582270182187,0.01551796455841493,1e-06,1e-06,0.2350330352783203,0.2350320352783203,0.2350320352783203,0.055240057607069605,True,True,True,True,True,5.067211361705701,5.067211361705701,0.0,9.698545252895382,9.698545252895382,-10.313971579462958,10.313971579462958,0.5205598844371068,theta,v0,83.28287275309367,10.01478908142531,38.63610863677873,3.256561294686514,83.28287275309367,theta,True,False,True,floor_iv_mismatch,5.524005760706961e-07,11.882921715234568,12.808500649821786,2,val
34312,1.3944311251990946,2.0162102269366806,0.0,0.47519584255464914,0.09966937420434616,0.631146703927607,0.07975496270028336,0.047000039095724505,0.33830868441341505,0.33830868441341505,0.12851792573928833,-0.20979075867412672,0.20979075867412672,0.04401216242506568,True,True,True,False,True,7.352170969689141,7.352170969689141,0.0,4.3998065666036155,4.3998065666036155,-18.15452974392708,18.15452974392708,1.3944311251990946,theta,v0,146.59351917997623,4.543272585179799,56.05830426727291,8.723396800619541,146.59351917997623,theta,True,False,True,short_low_m_high_sensitivity,4.4012162425065676e-07,9.467641839466715,10.20509093294953,5,val
35065,-0.09940860660137675,1.46689075875905,0.0,0.18725279899233735,0.07391054541394011,0.7560659872038712,0.09645470643830514,0.03144236146163598,1e-06,1e-06,0.18049761652946472,0.18049661652946472,0.18049661652946472,0.032579028578584635,True,True,True,True,True,0.22908093419473644,0.22908093419473644,0.0,0.9676517854001481,0.9676517854001481,0.033553245183509384,0.033553245183509384,0.09940860660137675,vega,v0,0.270934491872729,0.9992043427496542,1.7466798261170782,0.6218885286691245,1.7466798261170782,delta,True,False,True,floor_iv_mismatch,3.2579028578584634e-07,7.0082122091807095,7.554092569699988,6,val
36786,-2.934366425398969,1.7475556186844217,0.0,0.19139093587437184,0.051880333353695296,0.7203002370193385,0.08633389449678272,0.021458713288870904,1e-06,1e-06,0.16019608080387115,0.16019508080387115,0.16019508080387115,0.025662463913758808,True,True,True,True,True,8.667817936398183,8.667817936398183,0.0,8.583840740605533,8.583840740605533,-13.716962793617295,13.716962793617295,2.934366425398969,theta,v0,110.76121919653697,8.863737012522174,66.08975460651992,18.35705057395071,110.76121919653697,theta,True,False,True,floor_iv_mismatch,2.566246391375881e-07,5.520360819974981,5.9503501617156385,7,val
37978,-2.5491826417146313,2.659137028152831,0.0,0.31892894807571576,0.05898385410919814,0.7375216727648573,0.0508838023767515,0.0034062477911820967,1e-06,1e-06,0.2191719114780426,0.2191709114780426,0.2191709114780426,0.04803588843811599,True,True,True,True,True,7.364861349399154,7.364861349399154,0.0,11.021935006733843,11.021935006733843,-17.43609590712163,17.43609590712163,2.5491826417146313,theta,v0,140.79233644923028,11.381331063920559,56.1550649614929,15.947386212964263,140.79233644923028,theta,True,False,True,floor_iv_mismatch,4.803588843811599e-07,10.333202508442385,11.138071445378682,4,val
