moneyness,tau,r,iv_market,weight
0.8826304347826087,0.04657534246575343,0.0374,0.47017616437869436,1.0
0.9022444444444444,0.04657534246575343,0.0374,0.47370982118341604,1.0
0.92275,0.04657534246575343,0.0374,0.4799236962522328,1.0
0.9442093023255814,0.04657534246575343,0.0374,0.49249846992847096,1.0
0.9666904761904762,0.04657534246575343,0.0374,0.5042395293493679,1.0
0.9902682926829268,0.04657534246575343,0.0374,0.5228748581122589,1.0
0.81202,0.06575342465753424,0.0374,0.4770594798049359,1.0
0.8458541666666667,0.06575342465753424,0.0374,0.46861733311391474,1.0
0.8638510638297873,0.06575342465753424,0.0374,0.46802224473427034,1.0
0.8826304347826087,0.06575342465753424,0.0374,0.47141727810107437,1.0
0.9022444444444444,0.06575342465753424,0.0374,0.47629071460929,1.0
0.92275,0.06575342465753424,0.0374,0.48306587622300085,1.0
0.9666904761904762,0.06575342465753424,0.0374,0.502843266467542,1.0
1.0024938271604937,0.06575342465753424,0.0374,0.5249454471229859,1.0
1.015025,0.06575342465753424,0.0374,0.5341558069597284,1.0
1.041051282051282,0.06575342465753424,0.0374,0.5526815573130361,1.0
1.1278055555555555,0.06575342465753424,0.0374,0.6167181402898284,1.0
1.1941470588235295,0.06575342465753424,0.0374,0.6683524066790915,1.0
0.81202,0.08493150684931507,0.0374,0.47836302134376657,1.0
0.8826304347826087,0.08493150684931507,0.0374,0.4757477325585258,1.0
0.9666904761904762,0.08493150684931507,0.0374,0.5032408118160595,1.0
0.9902682926829268,0.08493150684931507,0.0374,0.5171933174496811,1.0
1.041051282051282,0.08493150684931507,0.0374,0.5448126324899587,1.0
1.0973243243243243,0.08493150684931507,0.0374,0.5767231777638923,1.0
1.1941470588235295,0.08493150684931507,0.0374,0.6458499947094938,1.0
0.81202,0.10410958904109589,0.0374,0.48507285824574403,1.0
0.8826304347826087,0.10410958904109589,0.0374,0.491237575638643,1.0
0.9666904761904762,0.10410958904109589,0.0374,0.5196778788337612,1.0
1.015025,0.10410958904109589,0.0374,0.5386745173278547,1.0
1.041051282051282,0.10410958904109589,0.0374,0.5426775799016079,1.0
1.0973243243243243,0.10410958904109589,0.0374,0.5867288344849526,1.0
1.1941470588235295,0.10410958904109589,0.0374,0.630350723049408,1.0
1.0684473684210527,0.14246575342465753,0.0374,0.5920128078413036,1.0
1.0973243243243243,0.14246575342465753,0.0374,0.6029810332774956,1.0
1.1941470588235295,0.14246575342465753,0.0374,0.6405680579549196,1.0
