check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,961,17,0.01768990634755463,0.0028294275243389705,,,,,,,,
nonnegative_price,non_hard,price,956,17,0.01778242677824268,0.0028294275243389705,,,,,,,,
nonnegative_price,short_maturity,price,31,8,0.25806451612903225,8.580865593873748e-05,,,,,,,,
nonnegative_price,atm,price,155,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,5,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,961,392,0.40790842872008326,2.736632387704941,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,956,392,0.4100418410041841,2.736632387704941,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,31,6,0.1935483870967742,0.1301387442505525,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,155,65,0.41935483870967744,1.5453250749135259,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,5,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,961,333,0.3465140478668054,3.752506798178686,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,956,333,0.348326359832636,3.752506798178686,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,31,5,0.16129032258064516,0.1515466467460826,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,155,58,0.3741935483870968,2.0152502916607693,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,5,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,961,497,0.5171696149843913,454.34853921111727,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,956,495,0.5177824267782427,454.34853921111727,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,31,18,0.5806451612903226,280.1353666198217,,,,,,,,
convexity_gamma_ge_0,atm,gamma,155,82,0.5290322580645161,309.46199217016687,,,,,,,,
convexity_gamma_ge_0,hard,gamma,5,2,0.4,242.1749422134437,,,,,,,,
finite_values,full,price,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,31,0,0.0,0.0,,,,,,,,
finite_values,atm,price,155,0,0.0,0.0,,,,,,,,
finite_values,hard,price,5,0,0.0,0.0,,,,,,,,
finite_values,full,delta,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,155,0,0.0,0.0,,,,,,,,
